osm_id	name	street_type	wikipedia	wikidata	etymology_wikidata	etymology_wikipedia	etymology_description	local_name	geometry	name_de	name_en	name_fr	name_es	name_ru
27661066	Bruchwettern	residential							LINESTRING(8.9112825 53.1161297,8.9113559 53.1162118,8.9117653 53.1167125,8.912218 53.1170867,8.9131173 53.1176949,8.9133344 53.1178418,8.91357 53.1180011,8.9140001 53.118292,8.9140143 53.1183016,8.9154617 53.1192806)					
27661107	Bruchwettern	path							LINESTRING(8.9112348 53.1160589,8.9112825 53.1161297)					
27661127	Weingartstraße	residential							LINESTRING(8.9125651 53.1155992,8.9126743 53.1157054,8.9127126 53.115827,8.9128265 53.1159654,8.9131805 53.116213,8.9135155 53.1164446,8.9137892 53.1165685,8.9137823 53.1166336)					
27661130	Weingartstraße	service							LINESTRING(8.9137823 53.1166336,8.9138853 53.1167315,8.9140569 53.1168293)					
27661376	Weingartstraße	service							LINESTRING(8.9137823 53.1166336,8.9137578 53.1167109,8.913397 53.1167958)					
27661550	Louise-Böhm-Weg	living_street							LINESTRING(8.9070442 53.1179954,8.9070954 53.1179734,8.9072535 53.1179056,8.9080013 53.1176801,8.9080545 53.1176877,8.9085631 53.1180229,8.9086571 53.1181524,8.9086699 53.1181718,8.908814 53.1183315,8.9089419 53.1184233,8.909086 53.118498,8.909251 53.1185695,8.9093074 53.118592,8.9094031 53.1186249,8.9096039 53.1187271,8.9097391 53.1188198,8.9098497 53.1189207,8.9099293 53.118978,8.9098245 53.1190185,8.9092367 53.1191753,8.9089095 53.1192623,8.9088234 53.1192874,8.9086768 53.1193251,8.9084089 53.1194023,8.9081101 53.1194771,8.9078089 53.1195218,8.9075394 53.1195914)					
27661693	Louise-Böhm-Weg	living_street							LINESTRING(8.9080545 53.1176877,8.9081662 53.1176434,8.9084481 53.1175389)					
27661703	Louise-Böhm-Weg	living_street							LINESTRING(8.9086571 53.1181524,8.9087399 53.1181144,8.9090289 53.1179648)					
27661708	Louise-Böhm-Weg	living_street							LINESTRING(8.9099293 53.118978,8.9099999 53.1189507,8.9102736 53.1188753,8.9104275 53.1187959)					
27661714	Christian-Holsten-Weg	living_street							LINESTRING(8.9107884 53.1194974,8.9111373 53.119326)					
27661719	Christian-Holsten-Weg	living_street							LINESTRING(8.911477 53.1199598,8.9117429 53.119693)					
27661723	Christian-Holsten-Weg	living_street							LINESTRING(8.9097051 53.1199826,8.9107884 53.1194974,8.911477 53.1199598,8.9112745 53.1200477,8.910564 53.1203157,8.9103525 53.1204133)					
27661732	Albert-Bischof-Straße	service							LINESTRING(8.9097051 53.1199826,8.9093401 53.1202851,8.9092785 53.120336)					
27661734	Albert-Bischof-Straße	service							LINESTRING(8.9092065 53.1196518,8.9086468 53.1198809,8.9085372 53.1199263)					
27661737	Albert-Bischof-Straße	service							LINESTRING(8.9093401 53.1202851,8.9095815 53.1204478)					
27661751	Albert-Bischof-Straße	service							LINESTRING(8.9103525 53.1204133,8.910289 53.1204513,8.9101213 53.1205571,8.9098711 53.1207383,8.9099113 53.1208029)					
27661813	Louise-Böhm-Weg	living_street							LINESTRING(8.909251 53.1185695,8.9093272 53.1185163,8.9096452 53.1183438)					
27662081	Bekassinenstraße	residential							LINESTRING(8.9046709 53.1176918,8.9042866 53.1173966,8.9042469 53.1173661,8.9042054 53.1173381,8.9040613 53.1172411,8.9038743 53.1171152,8.9037664 53.1170425,8.9034748 53.1168705,8.9031705 53.1166638,8.9029989 53.1165472,8.9027832 53.1164014,8.9027225 53.1163651,8.9026277 53.1163007,8.902148 53.1159917,8.9020189 53.1159281,8.901884 53.1158727,8.9017036 53.1158045,8.9015394 53.1157429,8.9011747 53.1156108,8.9009461 53.1155342)					
27662085	Rohrdommelweg	footway							LINESTRING(8.9037664 53.1170425,8.9042199 53.1167934,8.9046143 53.1165843)					
27662098	Rohrdommelweg	footway							LINESTRING(8.9036113 53.1162163,8.9038822 53.1163944,8.9039718 53.1164533,8.9039117 53.1165615,8.9040662 53.1166851,8.9042199 53.1167934)					
27662115	Rohrdommelweg	footway							LINESTRING(8.9036113 53.1162163,8.9033226 53.1160103,8.903176 53.1160911)					
27662122	Bekassinenstraße	footway							LINESTRING(8.9036113 53.1162163,8.9029989 53.1165472)					
27662637	Dionysiusstraße	living_street							LINESTRING(8.5922098 53.5590017,8.5923154 53.559703,8.5916539 53.5597303,8.5916532 53.5598703,8.5917125 53.5602472,8.5917164 53.5602971,8.5917599 53.5609031,8.5917936 53.5612643,8.591801 53.5617433)					
27662678	Jacobistraße	residential							LINESTRING(8.590962 53.5629572,8.5905062 53.5626434,8.5903863 53.561796)					
27662679	Auguststraße	residential							LINESTRING(8.5937471 53.561691,8.5935424 53.5616965,8.591801 53.5617433,8.5903863 53.561796,8.5889215 53.5618584)					
27662754	Am Klushof	living_street							LINESTRING(8.5902243 53.5603057,8.5917125 53.5602472,8.5937937 53.5601901)					
27662785	Nelly-Sachs-Straße	residential							LINESTRING(8.5781399 53.5615966,8.5782619 53.5616029,8.5798454 53.5616755,8.5803492 53.5617117,8.5804954 53.5617267,8.5820857 53.5617052)					
27662895	Gerhardstraße	residential							LINESTRING(8.590962 53.5629572,8.591389 53.5631814,8.5917725 53.5632953,8.5921893 53.5633622,8.5939199 53.5635384,8.5940612 53.5636001)					
27662923	Nonnenstraße	residential							LINESTRING(8.5892708 53.5689242,8.5894354 53.5689433,8.5927252 53.569456,8.5929683 53.5694967)					
27662970	Fichtestraße	residential							LINESTRING(8.571059 53.5568389,8.5711567 53.5568462,8.5712644 53.5568586,8.5713681 53.5569127,8.5714566 53.5571885,8.5715675 53.5575391,8.5715636 53.5576391,8.5714996 53.5577047,8.5714036 53.5577166,8.5713184 53.5576605,8.571059 53.5568389,8.5709929 53.5567856,8.5707021 53.5560668)					
27662971	Hardenbergstraße	residential							LINESTRING(8.5693094 53.5568961,8.5679873 53.5566492)					
27662990	Bremerhavener Straße	residential							LINESTRING(8.5793898 53.5533821,8.580339 53.5533857,8.5811117 53.5533798,8.5823345 53.5533638)					
27663048	Danziger Straße	residential							LINESTRING(8.5988877 53.5607749,8.5963992 53.5607517,8.5957402 53.5607471,8.5955837 53.5607444,8.5953155 53.5607444,8.5950977 53.5607426,8.5938317 53.5607372)					
27663052	Sollingstraße	residential							LINESTRING(8.5951012 53.5595593,8.5934514 53.5595818)					
27663056	Zoppoter Straße	residential							LINESTRING(8.5950977 53.5607426,8.5951168 53.5603858,8.5951118 53.5601225,8.5951012 53.5595593,8.5951726 53.5587265)					
27663090	Surfeldstraße	residential							LINESTRING(8.5937578 53.5615079,8.5940183 53.5615134,8.5963953 53.5615507,8.5988916 53.5615961)					
27663139	Meta-Rödiger-Weg	path							LINESTRING(8.925623 53.0884807,8.9255582 53.088549,8.9253866 53.0886005,8.925275 53.0886469,8.9252321 53.0887294,8.9253007 53.0887758,8.9255754 53.0888583,8.9258329 53.088915,8.9260131 53.0889511,8.926099 53.0889304,8.9261505 53.0888325,8.9260217 53.0887758,8.9258415 53.0887036,8.9257471 53.0886263,8.925623 53.0884807,8.925643 53.0883851,8.9259359 53.0883969,8.9265889 53.0883877,8.9266583 53.0884328,8.9267824 53.0885159,8.9270141 53.0887034,8.9271057 53.0887573,8.9272419 53.0888027,8.9275221 53.0888443,8.9277081 53.088947,8.927807 53.0889872,8.9280324 53.0890621,8.9284222 53.0891087,8.9287347 53.0891553,8.9288244 53.0891494,8.9289222 53.0891293,8.929059 53.0890539,8.92916 53.0889619)					
27663141	Meta-Rödiger-Weg	path							LINESTRING(8.925643 53.0883851,8.9253027 53.0883188)					
27663145	Meta-Rödiger-Weg	path							LINESTRING(8.9265889 53.0883877,8.9266697 53.0882854,8.926747 53.0881681,8.9267596 53.0881151,8.9266736 53.088058,8.9265661 53.0880281,8.9261672 53.0879201,8.9261644 53.0878293,8.9262277 53.0876909,8.9263303 53.0875379)					
27663251	Dionysiusstraße	residential							LINESTRING(8.591801 53.5617433,8.591872 53.5622314,8.5918704 53.5623938,8.5917277 53.5625158,8.590962 53.5629572)					
27663268	Jacobistraße	living_street							LINESTRING(8.5903863 53.561796,8.5903289 53.5613327,8.5902914 53.5609649,8.5902243 53.5603057,8.5902014 53.5600819,8.5901939 53.5600076)					
